"","superkingdom","phylum","class","subclass","order","suborder","family","tribe","genus","species.group","species","tax.seq.length"
"Taxa00119","Bacteria","Cyanobacteria","","","","","","","","","","253"
"Taxa00138","Bacteria","Bacteroidetes","Chitinophagia","","Chitinophagales","","Chitinophagaceae","","Sediminibacterium","","","253"
"Taxa00140","Bacteria","Cyanobacteria","","","","","","","","","","253"
"Taxa00187","","","","","","","","","","","","253"
"Taxa00213","Bacteria","","","","","","","","","","","253"
"Taxa00245","Bacteria","","","","","","","","","","","253"
"Taxa00274","Bacteria","Cyanobacteria","","","","","","","","","","253"
"Taxa00327","Bacteria","","","","","","","","","","","253"
"Taxa00387","Bacteria","Proteobacteria","","","","","","","","","","253"
"Taxa00414","Bacteria","","","","","","","","","","","253"
"Taxa00428","Bacteria","Verrucomicrobia","","","","","","","","","","253"
"Taxa00470","Bacteria","Cyanobacteria","","","","","","","","","","253"
"Taxa00486","Bacteria","Proteobacteria","Gammaproteobacteria","","","","","","","","","253"
"Taxa00491","Bacteria","Proteobacteria","Alphaproteobacteria","","Sphingomonadales","","Sphingomonadaceae","","","","","253"
"Taxa00501","Bacteria","Proteobacteria","Alphaproteobacteria","","Sphingomonadales","","Sphingomonadaceae","","","","","253"
"Taxa00580","Bacteria","Ignavibacteriae","Ignavibacteria","","Ignavibacteriales","","Ignavibacteriaceae","","Ignavibacterium","","","253"
"Taxa00659","Bacteria","","","","","","","","","","","255"
"Taxa00665","Bacteria","","","","","","","","","","","253"
"Taxa00800","Bacteria","","","","","","","","","","","254"
"Taxa01055","","","","","","","","","","","","255"
"Taxa01102","Bacteria","","","","","","","","","","","253"
"Taxa00295","Bacteria","Bacteroidetes","Flavobacteriia","","Flavobacteriales","","Flavobacteriaceae","","Flavobacterium","","","253"
"Taxa00459","Bacteria","Planctomycetes","Phycisphaerae","","","","","","","","","253"
"Taxa00489","Bacteria","Bacteroidetes","Cytophagia","","Cytophagales","","Cytophagaceae","","","","","254"
"Taxa00549","Bacteria","Bacteroidetes","","","","","","","","","","253"
"Taxa00618","Bacteria","Proteobacteria","Alphaproteobacteria","","","","","","","","","253"
"Taxa00195","Bacteria","","","","","","","","","","","253"
"Taxa00268","Bacteria","","","","","","","","","","","253"
"Taxa00403","Bacteria","","","","","","","","","","","254"
"Taxa00134","Bacteria","","","","","","","","","","","253"
"Taxa00156","Bacteria","Proteobacteria","Gammaproteobacteria","","Pseudomonadales","","Pseudomonadaceae","","Pseudomonas","","","253"
"Taxa00234","Bacteria","","","","","","","","","","","253"
"Taxa00240","Bacteria","Cyanobacteria","","","","","","","","","","253"
"Taxa00252","","","","","","","","","","","","253"
"Taxa00259","Bacteria","Proteobacteria","Alphaproteobacteria","","","","","","","","","253"
"Taxa00281","Bacteria","Bacteroidetes","Chitinophagia","","Chitinophagales","","Chitinophagaceae","","Sediminibacterium","","","253"
"Taxa00283","Bacteria","","","","","","","","","","","253"
"Taxa00308","Bacteria","Proteobacteria","Alphaproteobacteria","","","","","","","","","253"
"Taxa00313","Archaea","Thaumarchaeota","Nitrososphaeria","","Nitrososphaerales","","Nitrososphaeraceae","","Nitrososphaera","","","253"
"Taxa00321","Bacteria","Bacteroidetes","Flavobacteriia","","Flavobacteriales","","Flavobacteriaceae","","Flavobacterium","","","253"
"Taxa00390","","","","","","","","","","","","253"
"Taxa00420","Bacteria","","","","","","","","","","","253"
"Taxa00456","Bacteria","","","","","","","","","","","253"
"Taxa01280","Bacteria","Firmicutes","Clostridia","","Clostridiales","","","","","","","253"
"Taxa02437","Bacteria","Firmicutes","Clostridia","","Clostridiales","","","","","","","253"
"Taxa00091","Bacteria","Proteobacteria","","","","","","","","","","253"
"Taxa00152","Bacteria","","","","","","","","","","","253"
"Taxa00172","Bacteria","Proteobacteria","Betaproteobacteria","","Burkholderiales","","","","","","","253"
"Taxa00184","Bacteria","","","","","","","","","","","253"
"Taxa00241","Bacteria","","","","","","","","","","","253"
"Taxa00271","Bacteria","Proteobacteria","","","","","","","","","","253"
"Taxa00319","Bacteria","Proteobacteria","Deltaproteobacteria","","Myxococcales","Sorangiineae","","","","","","253"
"Taxa00337","Bacteria","Proteobacteria","","","","","","","","","","253"
"Taxa00368","Bacteria","Proteobacteria","Deltaproteobacteria","","Bdellovibrionales","","Bdellovibrionaceae","","Bdellovibrio","","","253"
"Taxa00405","Bacteria","Cyanobacteria","","","","","","","","","","253"
"Taxa00410","Bacteria","","","","","","","","","","","253"
"Taxa00416","Bacteria","","","","","","","","","","","253"
"Taxa00477","Bacteria","","","","","","","","","","","254"
"Taxa00521","Bacteria","","","","","","","","","","","253"
"Taxa00574","Bacteria","Proteobacteria","Deltaproteobacteria","","","","","","","","","253"
"Taxa00860","Bacteria","Nitrospirae","Nitrospira","","Nitrospirales","","Nitrospiraceae","","Candidatus Magnetobacterium","","","253"
"Taxa01023","Bacteria","","","","","","","","","","","253"
"Taxa00573","Bacteria","Proteobacteria","Alphaproteobacteria","","","","","","","","","253"
"Taxa00893","Bacteria","Verrucomicrobia","","","","","","","","","","252"
